Membership No  Date Joined  Active  
    35870      2016-11-25   no    
    72401      2019-11-15   no    
    26686      2017-4-13    no    
    56728      2015-1-13    no    
    96997      2017-1-9     no    
    53047      2015-12-16   no    
    54857      2015-3-19    no    
    79046      2016-5-17    no    
    26777      2018-4-25    no    
    71647      2020-8-18    no    
    49074      2017-9-17    no    
    61748      2016-9-7     no    
    62540      2015-9-24    no    
    52801      2019-8-19    no    
    15018      2020-12-17   no    
    85949      2017-7-21    no    
