Membership No  Date Joined  Active  
    59546      2015-7-3     yes   
    40268      2017-11-18   yes   
    30942      2016-10-19   yes   
    93457      2020-1-12    yes   
    27118      2017-6-23    yes   
    69984      2020-8-13    yes   
    17483      2016-1-13    yes   
    93457      2020-1-12    yes   
    79046      2016-5-17    no    
    27118      2017-6-23    yes   
    26777      2018-4-25    no    
    69984      2020-8-13    yes   
    71647      2020-8-18    no    
    49074      2017-9-17    no    
    61748      2016-9-7     no    
    62540      2015-9-24    no    
    52801      2019-8-19    no    
    15018      2020-12-17   no    
    85949      2017-7-21    no    
    17483      2016-1-13    yes   
